MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
1586,14.2,277.74,4.81,740.83,91.66,10.8,21.027,16.987,80.59,449.02,2570.290724,,,,,,
1586.5,12.4,277.53,3.86,594.07,91.81,11.2,18.697,17.816,80.53,360.11,2686.155267,,,,,,
1587,11.7,277.86,3.79,558.56,96.19,10.9,17.454,16.729,80.56,354.29,2410.949545,,,,,,
1587.5,12.3,277.51,4,567.9,99.64,12.2,20.457,16.729,80.36,373.25,2325.90057,,,,,,
1588,11.7,277.74,4.33,614.64,99.4,10.6,20.457,16.314,80.59,404.06,2275.131893,,,,,,
1588.5,13.3,277.74,3.97,559,100.77,11.1,19.007,17.35,80.59,370.21,2388.025187,,,,,,
1589,14.3,278.25,4.75,639.13,105.59,10,21.442,14.242,80.95,443.55,1879.152923,,,,,,
1589.5,10.2,277.54,3.33,445.39,106.06,9.8,18.179,14.864,80.53,311.05,1941.598026,,,,,,
1590,10.8,277.68,3.72,496.31,106.12,10,16.573,15.589,80.53,347.15,2036.31689,,,,,,
1590.5,13.5,278.24,3.78,490.72,110.23,11.7,19.37,18.386,81.09,353.1,2318.367949,,,,,,
1591,14.9,277.85,4.72,582.16,115.62,14.7,20.975,17.505,80.7,441.13,2104.852219,,,,,,
1591.5,17,278.33,5.33,652.37,116.67,15.5,21.545,19.111,81.18,497.65,2282.313659,,,,,,
1592,16.9,278.1,4.77,603.53,112.94,14.2,21.131,16.159,80.81,444.88,1994.564258,,,,,,
1592.5,16.6,277.88,3.46,460,108.64,16.2,18.334,14.76,80.73,322.9,1893.19155,,,,,,
1593,16.6,278.07,4.63,867.34,75.51,14.9,22.166,19.059,80.92,432.57,3501.205585,,,,,,
1593.5,16.9,278.02,5.37,795.72,95.66,16,20.975,20.872,80.87,501.45,3029.334579,,,,,,
1594,14.5,277.97,2.65,570.34,66.24,8.7,13.517,9.478,80.39,247.54,1990.685112,,,,,,
1594.5,16.3,277.94,3.14,578.8,77.63,16.1,14.139,13.932,80.5,293.37,2494.096645,,,,,,
1595,16.3,278.08,5.27,961.68,77.3,14.3,24.135,17.816,80.64,492.4,3198.647762,,,,,,
1595.5,15.2,278.27,5.86,1190.21,69.08,8.7,23.876,16.47,81.12,547.23,3308.965921,,,,,,
1596,7.4,278.05,2.79,467.53,83.99,6.2,15.952,15.641,80.75,260.52,2576.717103,,,,,,
1596.5,7.6,278.22,2.69,450.91,84.2,6.8,16.366,15.641,80.92,251.39,2572.138036,,,,,,
1597,8,278.01,2.69,450.94,84.23,3.4,17.557,2.797,80.28,251.39,468.0235719,,,,,,
1597.5,4.4,197.5,0.78,315.82,24.5,4.4,4.143,2.745,0.06,72.45,1102.783064,,,,,,
1598,5.4,197.65,1.3,474.18,27.18,3.9,3.988,3.418,0.06,120.99,1239.255534,,,,,,
1598.5,5,197.79,1.05,343.7,30.53,4.8,4.817,3.988,0.06,98.03,1287.399881,,,,,,
1599,7,206.71,1.68,386.39,45.56,5.3,6.06,3.418,9.13,156.62,777.9132967,,,,,,
1599.5,6.6,207.13,1.56,357.33,45.95,6.6,6.836,6.163,9.69,145.72,1385.875797,,,,,,
1600.5,10.6,278.45,2.97,613.67,68.42,9,17.557,17.557,81.15,277.63,3556.170567,,,,,,
1601,13.3,278.19,2.54,476.31,76.21,5.6,17.402,16.055,80.89,236.87,2922.766344,,,,,,
1601.5,14.1,278.78,4.5,833.6,76.29,10.1,27.501,19.939,81.63,420.2,3630.631418,,,,,,
1602,10.2,277.83,2.63,445.24,83.71,7.7,16.159,15.641,80.53,245.16,2586.877139,,,,,,
1602.5,11.8,278.3,4.63,713.11,91.5,10.8,23.979,21.597,81.15,432.09,3271.987965,,,,,,
1603,11.8,277.99,4.03,602.56,94.48,11.1,19.37,15.848,80.7,375.9,2327.134954,,,,,,
1603.5,11.2,278.7,3.62,522.69,98.5,10.6,19.266,18.334,81.26,338.26,2586.365746,,,,,,
1604,9.8,278.42,3.37,459.66,104.21,9.6,20.924,17.92,80.98,315.07,2386.368972,,,,,,
